No.,Actividad,Cliente / Proyecto / Servicio / Aplicación,Fecha desde,Fecha Hasta,Descripción,Estatus *
1,Administrador AThi,Altura,2026-06-15,2026-06-15,"1. Creacion de proyecto base (backend) de SpingBoot en Java 25. 2. Creacion de proyecto de AThi en React para fronted. 3. Implementacion de conexion a Datasources haciendo uso de las librerias disponibles de Altura (utils, db, asteps). 4. Implementacion parcial del dasboard utilizado en la USGP en React. 5. Modulo de consulta de Usuarios avanzado hasta la presentacion de la informacion de usuarios y departamentos. 6. Creacion de Rama para el desarrollo -> dev/jostin_cedeno",Entregado
2,Administrador AThi,Altura,2026-06-30,2026-06-30,"1. Avances en la seccion de listado de usuarios y departamentos. 2. Refactorizacion de Componentes de Tabla y Lista de departamentos. 3. Agregacion de componentes de UI/UX (Dialog, Toast). 4. Creacion de vista para detalles de usuario, aun falta Implementacion.",Entregado
3,Administrador AThi,Altura,2026-07-05,2026-07-05,1. Pagina de vista de empleado detallado 2. Arreglo de busqueda tabulada por usuario o departamento,Entregado
4,Administrador AThi,Altura,2026-07-15,2026-07-15,"1. Corrección y mapeo de las entidades Jornada y Horario según la estructura real de la base de datos. 2. Implementación de los repositorios, servicios y controladores para Jornadas y Horarios. 3. Creación de DTOs para Usuarios, Asignaciones y Horarios para evitar problemas de serialización JSON y referencias circulares. 4. Creación de endpoints para obtener los detalles completos de un usuario (incluyendo sus asignaciones, roles y departamentos). 5. Creación de endpoint para consultar los horarios de un usuario junto con la información detallada de sus jornadas.",Entregado
5,Administrador AThi,Altura,2026-07-16,2026-07-16,"1. Optimización del rendimiento de consultas en el Backend mediante JOIN FETCH para evitar el problema de N+1 queries al cargar asignaciones y horarios. 2. Reestructuración de las entidades Asignacion y Horario para desacoplarlas de la entidad Usuario (reemplazando relaciones JPA @ManyToOne por columnas simples String idUsuario), eliminando la redundancia y previniendo la recursividad infinita en la serialización JSON. 3. Rediseño y refactorización de los DTOs UsuarioAsignacionesDto y UsuarioHorariosDto para construirse mediante mapeos desacoplados en la capa de servicios. 4. Ajustes generales de integración en Backend y Frontend para adaptarse al nuevo formato de respuesta optimizado.",Entregado
6,Administrador AThi,Altura,2026-07-20,2026-07-20,"1. Creación e integración de las entidades JPA Intervalo, IntervaloBreak y HorarioPareja. 2. Implementación de repositorios y servicios para la gestión de parejas de marcaciones e intervalos. 3. Ajuste en HorarioController para el filtrado de horarios por rango de fechas para solucionar desfases de zonas horarias (UTC/Z). 4. Creación de DTOs para Departamentos y Roles (DepartamentoDto, RolDto) y estandarización de respuestas de la API. 5. Frontend: Desarrollo e integración del módulo de marcaciones de usuario. 6. Frontend: Creación de componentes UI reutilizables (Chip, Selector, Tooltip) y refactorización de vistas de tabla y tarjetas de usuario/departamento.",Entregado
7,Administrador AThi,Altura,2026-07-21,2026-07-21,1. Implementación de endpoints para consulta de marcaciones por departamento 2. Implementación de endpoints para consulta de marcaciones por usuario 3. Fronted: Creacion de vista para listado de marcaciones 4. Fronted: Reestructuracion de componentes de tabla de listado de marciaciones y cracion de componente de calendario para vista de horarios por usuario.,Entregado
8,Administrador AThi,Altura,2026-07-23,2026-07-23,"1. Implementacion de modulo de vacaciones en el backend con los esquemas de athi_kardex 2. Actualizacion de vistas de perfil de usaurio y metricas de saldo de vacaciones, permisos. 3. Modales de resumen de vacacioenes y de permisos emitidos/tomados/finalizados",Entregado
9,Administrador AThi,Altura,2026-07-24,2026-07-24,1. Agregacion de endpoints para consultas de kardex de vacacioenes y permisos. 2. Fronted: Modales con informacion de permisos y kardex de vacaciones.,Entregado
10,Administrador AThi,Altura,2026-07-27,2026-07-27,1. Agregacion de endpoints para consultas de kardex de vacacioenes y permisos. 2. Fronted: Modales con informacion de permisos y kardex de vacaciones.,Entregado
